scene,image_path,mask_path,image_name,total_pixels,forest_pixels,background_pixels,forest_percentage,background_percentage,cumulative_forest_pixels,cumulative_background_pixels,cumulative_total_pixels,cumm_forest_percent,cumm_background_percent
Rural,LoveDa/Train/Train/Rural/images_png/718.png,LoveDa/Train/Train/Rural/masks_png/718.png,718.png,1048576,1048576,0,100.0,0.0,1048576,0,1048576,1.0,0.0
Rural,LoveDa/Train/Train/Rural/images_png/228.png,LoveDa/Train/Train/Rural/masks_png/228.png,228.png,1048576,1048576,0,100.0,0.0,2097152,0,2097152,1.0,0.0
Rural,LoveDa/Train/Train/Rural/images_png/1253.png,LoveDa/Train/Train/Rural/masks_png/1253.png,1253.png,1048576,1048576,0,100.0,0.0,3145728,0,3145728,1.0,0.0
Rural,LoveDa/Train/Train/Rural/images_png/250.png,LoveDa/Train/Train/Rural/masks_png/250.png,250.png,1048576,1048576,0,100.0,0.0,4194304,0,4194304,1.0,0.0
Rural,LoveDa/Train/Train/Rural/images_png/537.png,LoveDa/Train/Train/Rural/masks_png/537.png,537.png,1048576,1048576,0,100.0,0.0,5242880,0,5242880,1.0,0.0
Rural,LoveDa/Train/Train/Rural/images_png/221.png,LoveDa/Train/Train/Rural/masks_png/221.png,221.png,1048576,1048576,0,100.0,0.0,6291456,0,6291456,1.0,0.0
Rural,LoveDa/Train/Train/Rural/images_png/69.png,LoveDa/Train/Train/Rural/masks_png/69.png,69.png,1048576,1048576,0,100.0,0.0,7340032,0,7340032,1.0,0.0
Rural,LoveDa/Train/Train/Rural/images_png/1023.png,LoveDa/Train/Train/Rural/masks_png/1023.png,1023.png,1048576,1048576,0,100.0,0.0,8388608,0,8388608,1.0,0.0
Rural,LoveDa/Train/Train/Rural/images_png/1166.png,LoveDa/Train/Train/Rural/masks_png/1166.png,1166.png,1048576,1048576,0,100.0,0.0,9437184,0,9437184,1.0,0.0
Rural,LoveDa/Train/Train/Rural/images_png/1201.png,LoveDa/Train/Train/Rural/masks_png/1201.png,1201.png,1048576,1048576,0,100.0,0.0,10485760,0,10485760,1.0,0.0
Rural,LoveDa/Train/Train/Rural/images_png/449.png,LoveDa/Train/Train/Rural/masks_png/449.png,449.png,1048576,1048576,0,100.0,0.0,11534336,0,11534336,1.0,0.0
Rural,LoveDa/Train/Train/Rural/images_png/1318.png,LoveDa/Train/Train/Rural/masks_png/1318.png,1318.png,1048576,1046315,2261,99.78437423706056,0.2156257629394531,12580651,2261,12582912,0.9998203118642172,0.0001796881357828776
Rural,LoveDa/Train/Train/Rural/images_png/1061.png,LoveDa/Train/Train/Rural/masks_png/1061.png,1061.png,1048576,1045897,2679,99.74451065063477,0.2554893493652344,13626548,4940,13631488,0.9996376037597656,0.000362396240234375
Rural,LoveDa/Train/Train/Rural/images_png/147.png,LoveDa/Train/Train/Rural/masks_png/147.png,147.png,1048576,1045870,2706,99.74193572998048,0.2580642700195312,14672418,7646,14680064,0.9994791575840541,0.0005208424159458705
Rural,LoveDa/Train/Train/Rural/images_png/1180.png,LoveDa/Train/Train/Rural/masks_png/1180.png,1180.png,1048576,1045547,3029,99.71113204956056,0.2888679504394531,15717965,10675,15728640,0.9993213017781576,0.0006786982218424479
Rural,LoveDa/Train/Train/Rural/images_png/423.png,LoveDa/Train/Train/Rural/masks_png/423.png,423.png,1048576,1045375,3201,99.69472885131836,0.3052711486816406,16763340,13876,16777216,0.9991729259490967,0.0008270740509033203
Rural,LoveDa/Train/Train/Rural/images_png/51.png,LoveDa/Train/Train/Rural/masks_png/51.png,51.png,1048576,1044503,4073,99.61156845092772,0.3884315490722656,17807843,17949,17825792,0.9989930882173426,0.0010069117826573988
Rural,LoveDa/Train/Train/Rural/images_png/160.png,LoveDa/Train/Train/Rural/masks_png/160.png,160.png,1048576,1043647,4929,99.52993392944336,0.4700660705566406,18851490,22878,18874368,0.9987878799438477,0.0012121200561523438
Rural,LoveDa/Train/Train/Rural/images_png/1078.png,LoveDa/Train/Train/Rural/masks_png/1078.png,1078.png,1048576,1040421,8155,99.2222785949707,0.7777214050292969,19891911,31033,19922944,0.9984423486809981,0.0015576513190018503
Rural,LoveDa/Train/Train/Rural/images_png/773.png,LoveDa/Train/Train/Rural/masks_png/773.png,773.png,1048576,1039796,8780,99.16267395019533,0.8373260498046875,20931707,39813,20971520,0.9981015682220459,0.0018984317779541016
Rural,LoveDa/Train/Train/Rural/images_png/133.png,LoveDa/Train/Train/Rural/masks_png/133.png,133.png,1048576,1039668,8908,99.15046691894533,0.8495330810546875,21971375,48721,22020096,0.9977874301728749,0.0022125698271251862
Rural,LoveDa/Train/Train/Rural/images_png/508.png,LoveDa/Train/Train/Rural/masks_png/508.png,508.png,1048576,1039503,9073,99.1347312927246,0.8652687072753906,23010878,57794,23068672,0.9974946975708008,0.0025053024291992188
Rural,LoveDa/Train/Train/Rural/images_png/774.png,LoveDa/Train/Train/Rural/masks_png/774.png,774.png,1048576,1038103,10473,99.00121688842772,0.9987831115722656,24048981,68267,24117248,0.9971693702366041,0.0028306297633958898
Rural,LoveDa/Train/Train/Rural/images_png/732.png,LoveDa/Train/Train/Rural/masks_png/732.png,732.png,1048576,1037297,11279,98.9243507385254,1.0756492614746094,25086278,79546,25165824,0.9968391259511312,0.003160874048868815
Rural,LoveDa/Train/Train/Rural/images_png/871.png,LoveDa/Train/Train/Rural/masks_png/871.png,871.png,1048576,1036409,12167,98.83966445922852,1.1603355407714844,26122687,91713,26214400,0.9965014266967773,0.0034985733032226562
Rural,LoveDa/Train/Train/Rural/images_png/1322.png,LoveDa/Train/Train/Rural/masks_png/1322.png,1322.png,1048576,1036176,12400,98.81744384765624,1.18255615234375,27158863,104113,27262976,0.9961811579190768,0.003818842080923227
Rural,LoveDa/Train/Train/Rural/images_png/443.png,LoveDa/Train/Train/Rural/masks_png/443.png,443.png,1048576,1034392,14184,98.64730834960938,1.352691650390625,28193255,118297,28311552,0.9958215996071145,0.004178400392885561
Rural,LoveDa/Train/Train/Rural/images_png/879.png,LoveDa/Train/Train/Rural/masks_png/879.png,879.png,1048576,1032935,15641,98.50835800170898,1.4916419982910156,29226190,133938,29360128,0.9954380989074707,0.004561901092529297
Rural,LoveDa/Train/Train/Rural/images_png/645.png,LoveDa/Train/Train/Rural/masks_png/645.png,645.png,1048576,1032477,16099,98.46467971801758,1.535320281982422,30258667,150037,30408704,0.9950659850548054,0.004934014945194639
Rural,LoveDa/Train/Train/Rural/images_png/447.png,LoveDa/Train/Train/Rural/masks_png/447.png,447.png,1048576,1032428,16148,98.4600067138672,1.5399932861328125,31291095,166185,31457280,0.9947171211242676,0.005282878875732422
Rural,LoveDa/Train/Train/Rural/images_png/289.png,LoveDa/Train/Train/Rural/masks_png/289.png,289.png,1048576,1029222,19354,98.15425872802734,1.845741271972656,32320317,185539,32505856,0.9942921361615581,0.00570786383844191
Rural,LoveDa/Train/Train/Rural/images_png/1362.png,LoveDa/Train/Train/Rural/masks_png/1362.png,1362.png,1048576,1028172,20404,98.05412292480467,1.9458770751953125,33348489,205943,33554432,0.9938624203205109,0.006137579679489136
Rural,LoveDa/Train/Train/Rural/images_png/572.png,LoveDa/Train/Train/Rural/masks_png/572.png,572.png,1048576,1025907,22669,97.83811569213869,2.161884307861328,34374396,228612,34603008,0.993393291126598,0.006606708873401989
Rural,LoveDa/Train/Train/Rural/images_png/1167.png,LoveDa/Train/Train/Rural/masks_png/1167.png,1167.png,1048576,1019491,29085,97.22623825073242,2.773761749267578,35393887,257697,35651584,0.9927717938142664,0.007228206185733571
Rural,LoveDa/Train/Train/Rural/images_png/676.png,LoveDa/Train/Train/Rural/masks_png/676.png,676.png,1048576,1019345,29231,97.21231460571288,2.78768539428711,36413232,286928,36700160,0.9921818324497768,0.007818167550223215
Rural,LoveDa/Train/Train/Rural/images_png/259.png,LoveDa/Train/Train/Rural/masks_png/259.png,259.png,1048576,1014339,34237,96.73490524291992,3.265094757080078,37427571,321165,37748736,0.9914920330047607,0.008507966995239258
Rural,LoveDa/Train/Train/Rural/images_png/699.png,LoveDa/Train/Train/Rural/masks_png/699.png,699.png,1048576,1014339,34237,96.73490524291992,3.265094757080078,38441910,355402,38797312,0.9908395200162321,0.009160479983767948
Rural,LoveDa/Train/Train/Rural/images_png/407.png,LoveDa/Train/Train/Rural/masks_png/407.png,407.png,1048576,1013620,34956,96.66633605957033,3.3336639404296875,39455530,390358,39845888,0.9902033052946392,0.009796694705360815
Rural,LoveDa/Train/Train/Rural/images_png/480.png,LoveDa/Train/Train/Rural/masks_png/480.png,480.png,1048576,1013413,35163,96.6465950012207,3.353404998779297,40468943,425521,40894464,0.9895946551591922,0.010405344840807792
Rural,LoveDa/Train/Train/Rural/images_png/391.png,LoveDa/Train/Train/Rural/masks_png/391.png,391.png,1048576,1008165,40411,96.1461067199707,3.853893280029297,41477108,465932,41943040,0.988891315460205,0.011108684539794921
Rural,LoveDa/Train/Train/Rural/images_png/1106.png,LoveDa/Train/Train/Rural/masks_png/1106.png,1106.png,1048576,1008135,40441,96.14324569702148,3.856754302978515,42485243,506373,42991616,0.9882215872043516,0.011778412795648343
Rural,LoveDa/Train/Train/Rural/images_png/1049.png,LoveDa/Train/Train/Rural/masks_png/1049.png,1049.png,1048576,1007989,40587,96.12932205200195,3.870677947998047,43493232,546960,44040192,0.9875804356166294,0.012419564383370536
Rural,LoveDa/Train/Train/Rural/images_png/1230.png,LoveDa/Train/Train/Rural/masks_png/1230.png,1230.png,1048576,1005313,43263,95.87411880493164,4.125881195068359,44498545,590223,45088768,0.9869097554406454,0.01309024455935456
Rural,LoveDa/Train/Train/Rural/images_png/1186.png,LoveDa/Train/Train/Rural/masks_png/1186.png,1186.png,1048576,1004445,44131,95.79133987426758,4.208660125732422,45502990,634354,46137344,0.9862507473338734,0.013749252666126598
Rural,LoveDa/Train/Train/Rural/images_png/729.png,LoveDa/Train/Train/Rural/masks_png/729.png,729.png,1048576,1003320,45256,95.68405151367188,4.315948486328125,46506310,679610,47185920,0.985597186618381,0.014402813381618924
