scene,image_path,mask_path,image_name,total_pixels,forest_pixels,background_pixels,forest_percentage,background_percentage
Rural,LoveDa/Train/Train/Rural/images_png/348.png,LoveDa/Train/Train/Rural/masks_png/348.png,348.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1186.png,LoveDa/Train/Train/Rural/masks_png/1186.png,1186.png,1048576,1004445,44131,95.79133987426758,4.208660125732422
Rural,LoveDa/Train/Train/Rural/images_png/412.png,LoveDa/Train/Train/Rural/masks_png/412.png,412.png,1048576,340063,708513,32.43093490600586,67.56906509399414
Rural,LoveDa/Train/Train/Rural/images_png/374.png,LoveDa/Train/Train/Rural/masks_png/374.png,374.png,1048576,842602,205974,80.3567886352539,19.643211364746094
Rural,LoveDa/Train/Train/Rural/images_png/360.png,LoveDa/Train/Train/Rural/masks_png/360.png,360.png,1048576,107762,940814,10.276985168457031,89.72301483154297
Rural,LoveDa/Train/Train/Rural/images_png/406.png,LoveDa/Train/Train/Rural/masks_png/406.png,406.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1192.png,LoveDa/Train/Train/Rural/masks_png/1192.png,1192.png,1048576,13133,1035443,1.2524604797363281,98.74753952026367
Rural,LoveDa/Train/Train/Rural/images_png/1179.png,LoveDa/Train/Train/Rural/masks_png/1179.png,1179.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/1145.png,LoveDa/Train/Train/Rural/masks_png/1145.png,1145.png,1048576,143418,905158,13.677406311035156,86.32259368896484
Rural,LoveDa/Train/Train/Rural/images_png/1151.png,LoveDa/Train/Train/Rural/masks_png/1151.png,1151.png,1048576,207884,840692,19.825363159179688,80.17463684082031
Rural,LoveDa/Train/Train/Rural/images_png/638.png,LoveDa/Train/Train/Rural/masks_png/638.png,638.png,1048576,31999,1016577,3.0516624450683594,96.94833755493164
Rural,LoveDa/Train/Train/Rural/images_png/176.png,LoveDa/Train/Train/Rural/masks_png/176.png,176.png,1048576,18567,1030009,1.7706871032714844,98.22931289672852
Rural,LoveDa/Train/Train/Rural/images_png/88.png,LoveDa/Train/Train/Rural/masks_png/88.png,88.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/610.png,LoveDa/Train/Train/Rural/masks_png/610.png,610.png,1048576,504828,543748,48.14414978027344,51.85585021972656
Rural,LoveDa/Train/Train/Rural/images_png/604.png,LoveDa/Train/Train/Rural/masks_png/604.png,604.png,1048576,513585,534991,48.97928237915039,51.02071762084961
Rural,LoveDa/Train/Train/Rural/images_png/162.png,LoveDa/Train/Train/Rural/masks_png/162.png,162.png,1048576,959883,88693,91.54157638549805,8.458423614501953
Rural,LoveDa/Train/Train/Rural/images_png/189.png,LoveDa/Train/Train/Rural/masks_png/189.png,189.png,1048576,219,1048357,0.020885467529296875,99.9791145324707
Rural,LoveDa/Train/Train/Rural/images_png/837.png,LoveDa/Train/Train/Rural/masks_png/837.png,837.png,1048576,878741,169835,83.80327224731445,16.196727752685547
Rural,LoveDa/Train/Train/Rural/images_png/77.png,LoveDa/Train/Train/Rural/masks_png/77.png,77.png,1048576,0,1048576,0.0,100.0
Rural,LoveDa/Train/Train/Rural/images_png/823.png,LoveDa/Train/Train/Rural/masks_png/823.png,823.png,1048576,3745,1044831,0.3571510314941406,99.64284896850586
Rural,LoveDa/Train/Train/Rural/images_png/63.png,LoveDa/Train/Train/Rural/masks_png/63.png,63.png,1048576,56741,991835,5.411243438720703,94.5887565612793
